"ManagementGroup";"Subscription";"DisplayName";"SignInName";"ObjectType";"RoleDefinitionName";"Resource1";"Resource2";"Scope"
"";"contoso - Dev - Bdubois- 01";"dsc-dev-fr-automation";"";"ServicePrincipal";"Reader";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage";"/storageAccounts/dscdevfrstg";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage/storageAccounts/dscdevfrstg"
"";"contoso - Dev - Bdubois- 01";"dsc-dev-fr-automation";"";"ServicePrincipal";"Storage Account Key Operator Service Role";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage";"/storageAccounts/dscdevfrstg";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage/storageAccounts/dscdevfrstg"
"";"contoso - Dev - Bdubois- 01";"dsc-dev-fr-webapp";"";"ServicePrincipal";"Storage Account Key Operator Service Role";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage";"/storageAccounts/dscdevfrstg";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage/storageAccounts/dscdevfrstg"
"";"contoso - Dev - Bdubois- 01";"david dubois (Externe)";"david.dubois@contoso.com";"User";"Storage Blob Data Contributor";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage";"/storageAccounts/dscdevfrstg";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage/storageAccounts/dscdevfrstg"
"";"contoso - Dev - Bdubois- 01";"dsc-dev-fr-automation";"";"ServicePrincipal";"Storage Blob Data Contributor";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage";"/storageAccounts/dscdevfrstg";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage/storageAccounts/dscdevfrstg"
"";"contoso - Dev - Bdubois- 01";"dsc-dev-fr-webapp";"";"ServicePrincipal";"Storage Blob Data Contributor";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage";"/storageAccounts/dscdevfrstg";"/subscriptions/d7cb1166-a780-4c7b-8435-4605786981eb/resourceGroups/dsc-dev-fr-rg/providers/Microsoft.Storage/storageAccounts/dscdevfrstg"
"";"contoso - Dev - Default";"";"";"Unknown";"AcrPull";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-infrastructure-migration-tools-01/providers/Microsoft.ContainerRegistry";"/registries/migrationtoolsregistry01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-infrastructure-migration-tools-01/providers/Microsoft.ContainerRegistry/registries/migrationtoolsregistry01"
"";"contoso - Dev - Default";"";"";"Unknown";"AcrPull";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-infrastructure-migration-tools-01/providers/Microsoft.ContainerRegistry";"/registries/migrationtoolsregistry01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-infrastructure-migration-tools-01/providers/Microsoft.ContainerRegistry/registries/migrationtoolsregistry01"
"";"contoso - Dev - Default";"devit-vg-MigrationTool-b05ac6bf-341b-4116-a0d8-d5e8c4d85b3c";"";"ServicePrincipal";"Contributor";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-infrastructure-migration-tools-01/providers/Microsoft.ContainerRegistry";"/registries/migrationtoolsregistry01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-infrastructure-migration-tools-01/providers/Microsoft.ContainerRegistry/registries/migrationtoolsregistry01"
"";"contoso - Dev - Default";"AZ - CONTRIBUTOR - Security Team";"";"Group";"Contributor";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/resourceGroups/rg-dev-security-sentinel-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourceGroups/rg-dev-security-sentinel-01"
"";"contoso - Dev - Default";"AZ - CONTRIBUTOR - Security Team";"";"Group";"Contributor";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"david dubois (Externe)";"david.dubois@contoso.com";"User";"Contributor";"";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1"
"";"contoso - Dev - Default";"jean martin";"jean.martin@contoso.com";"User";"Grafana Admin";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourcegroups/rg-dev-monitoring-grafana-01/providers/Microsoft.Dashboard";"/grafana/dev-frc-azmg-01";"/subscriptions/91567f16-7762-4691-a6b2-c024f23a3ba1/resourcegroups/rg-dev-monitoring-grafana-01/providers/Microsoft.Dashboard/grafana/dev-frc-azmg-01"
